time,LeftAnklePlantarFlexionMoment,LeftKneeFlexionMoment,LeftHipFlexionMoment,RightAnklePlantarFlexionMoment,RightKneeFlexionMoment,RightHipFlexionMoment,LeftAnklePlantarFlexionAngle,LeftKneeFlexionAngle,LeftHipFlexionAngle,RightAnklePlantarFlexionAngle,RightKneeFlexionAngle,RightHipFlexionAngle,LeftBeltSpeed,RightBeltSpeed,LeftFoot_x,LeftFoot_y,LeftFoot_z,RightFoot_x,RightFoot_y,RightFoot_z,COM_x,COM_y,COM_z,LeftGRF_x,LeftGRF_y,LeftGRF_z,RightGRF_x,RightGRF_y,RightGRF_z,LeftCOP_x,LeftCOP_y,LeftCOP_z,RightCOP_x,RightCOP_y,RightCOP_z
0,41.6677521306757,8.40272239184242,-15.5695770957099,32.4413240598364,-0.583776615232638,0.398884689201707,-1.72789026342833,0.271041401185898,0.142553830521678,-1.73311172137375,0.1930130924569,0.0654143368460112,0,0,-0.041957622110634,0.116040651709961,-0.28998781145547,-0.031929232429375,0.117654655076642,0.248782373006979,0.0734504836602882,1.06258325511845,-0.00581209484837989,7.679441,384.534851,54.024799,5.824085,419.569244,-56.946083,0.064926,0,-0.265389,0.064926,0,-0.265389
0.0101439999999116,41.6555885744884,8.35506603923174,-15.5364978608589,32.452476686864,-0.644297986664347,-0.053847286300165,-1.72761323802987,0.270535896109038,0.142517238818227,-1.73362420887506,0.193078773484919,0.06558338069273,0.064678,0.051388,-0.0419133076744181,0.116038500382222,-0.289978002447989,-0.0318669179560175,0.117660439043732,0.248861456421528,0.0734358754780135,1.06260362433988,-0.00577206837464844,6.555011,384.643158,55.126656,5.655365,420.038849,-56.489845,0.061918,0,-0.265384,0.061918,0,-0.265384
0.0200889999999276,41.5730390906285,8.22024341316256,-15.1750215490558,32.5809909015378,-0.404607809845145,-0.0519200496286042,-1.72737607349641,0.270046090871189,0.142498885384551,-1.73427589462584,0.192990811448134,0.0657035683937068,0.064678,0.051388,-0.0418712537723688,0.116036597168803,-0.289968892995254,-0.031807252960469,0.11766559222403,0.248935430340345,0.0734197423242436,1.06262319300159,-0.00573321993605569,7.46159,387.342285,55.405499,6.892935,420.497162,-56.36871,0.062541,0,-0.265389,0.062541,0,-0.265389
0.0300769999999488,41.471865577237,8.06074767511171,-14.8217477389965,32.6906996157776,-0.21279889243627,-0.152760062668578,-1.72714881828575,0.269609068496046,0.142507602925215,-1.7348857624008,0.19283799323673,0.0657968339551749,0.064678,0.051388,-0.0418333726650656,0.116035260676199,-0.289961208967619,-0.0317526944179026,0.117669300363484,0.249000170658956,0.0733983582088796,1.06264157559264,-0.00569501602757655,7.486123,386.624023,54.940266,5.553758,417.051422,-56.601604,0.061642,0,-0.265193,0.061642,0,-0.265193
0.0400729999999498,41.383395607985,7.91686523381604,-14.5641120787263,32.7778022976784,-0.0895663185524439,-0.210811788479007,-1.72691774435187,0.269278012689287,0.142567879400662,-1.73534587852292,0.192651347924535,0.0658575853313237,0.064678,0.051388,-0.0418012546764239,0.116034616943514,-0.289955131828012,-0.031705192008395,0.117670796921015,0.249052896885291,0.0733683943268142,1.06265840067067,-0.00565669843220892,6.221663,384.952423,53.594398,5.350391,418.676086,-57.069065,0.063673,0,-0.265634,0.063673,0,-0.265634
0.0500359999999205,41.311353661788,7.78494371171386,-14.3402810669523,32.8526567557343,0.00120046891136407,-0.231563579967961,-1.72667643886566,0.269083474566116,0.142694630003964,-1.73562303231084,0.192432732658039,0.0658615804035969,0.064678,0.051388,-0.0417760717639779,0.116034584848003,-0.289950278388829,-0.0316661050319208,0.117669462806517,0.249092452992339,0.0733271490055979,1.06267332040315,-0.00561731755760293,6.985096,385.369934,55.441887,5.66804,418.702332,-56.463863,0.066812,0,-0.265281,0.066812,0,-0.265281
0.060387999999989,41.248655832989,7.66439609902122,-14.1136415928642,32.9304602336998,0.0810111289661057,-0.24846845119839,-1.72642080746809,0.269028077720257,0.142888141592374,-1.73571981940459,0.192164585263585,0.0657753517849158,0.064678,0.051388,-0.0417585052701935,0.116034927398525,-0.289945821997362,-0.0316361855728401,0.117664919354636,0.249119285170381,0.0732726969949672,1.06268604357653,-0.00557581119248715,6.050956,385.245209,55.294739,5.524757,419.357086,-54.784325,0.062355,0,-0.265184,0.062355,0,-0.265184
0.0700169999999503,41.1984888844705,7.58060077670441,-13.966037747812,33.0072084730614,0.131540455682153,-0.244602981624407,-1.72619936940561,0.269101596363546,0.143105234444878,-1.73565977654025,0.191878930049239,0.065595805799574,0.064678,0.051388,-0.0417487073787659,0.116035347070726,-0.289940725451754,-0.0316156103540238,0.117657087393797,0.249135156372857,0.0732039520755462,1.06269638851157,-0.00553111704632201,7.032276,384.656799,54.193504,5.217361,418.587311,-55.399113,0.063744,0,-0.265454,0.063744,0,-0.265454
0.0801249999999527,41.1479430454909,7.52226077690419,-13.9099393124807,33.1009810137164,0.176605165477766,-0.266244205018634,-1.72601275466944,0.269302413388612,0.143363540208926,-1.73548488778851,0.191550534990392,0.0653017515140819,0.064678,0.051388,-0.0417462996398481,0.116035587803178,-0.289934031523098,-0.0316040454619846,0.117646197639167,0.249142684265053,0.0731206493061711,1.06270434102909,-0.00548229851059374,5.567928,384.488098,53.929428,5.941521,420.442841,-57.556034,0.064646,0,-0.265283,0.064646,0,-0.265283
0.09009599999996,41.0868226198979,7.47399758055927,-13.9301361327689,33.2011749249978,0.218905990857008,-0.291919017581988,-1.7258892956037,0.26962746905947,0.143670061222644,-1.7352080716367,0.191207040575862,0.064918592584343,0.064678,0.051388,-0.0417504092436257,0.116035508720004,-0.289925146407496,-0.0316007350031804,0.117632756234197,0.249144816170498,0.0730232595674,1.06271009418201,-0.00542866106745921,5.4411,382.52951,54.251419,4.741722,418.295837,-55.35281,0.065431,0,-0.265239,0.065431,0,-0.265239
